location,dept,below 0,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,above 100
MT GINGER MONTANA,67,1746.312434691745,1199.5,1126.0,1188.3333333333333,1214.0,1313.0,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,33,854.4885416666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD HOT SPRINGS,80,45.439911797133405,52.0,56.72727272727273,56.095238095238095,62.5,62.666666666666664,76.75,84.0,85.0,67.0,NaN,NaN
CO Nast Lake,94,9229.169042769858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,20,5.648809523809524,5.7727272727272725,9.11111111111111,5.666666666666667,9.2,10.347826086956522,8.75,9.617647058823529,8.923076923076923,8.907407407407407,7.931818181818182,7.021978021978022
CA IMPERIAL,81,2166.4880136986303,2149.315789473684,2218.470588235294,2091.6521739130435,2154.6,2123.4285714285716,2106.4615384615386,2224.8846153846152,2239.5,2336.5,2197.48,2288.0100502512564
UT Mammoth-Cottonwood,50,981.8041958041958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD HOT SPRINGS,81,1147.511229946524,1196.7272727272727,1187.909090909091,1172.857142857143,1245.1666666666667,1229.6666666666667,1273.75,1318.0,1155.0,1192.5,NaN,NaN
AK HIDDEN FALLS HATCHERY,34,1658.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,95,20672.88187372709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KS HORTON,38,5155.803297997644,5177.9473684210525,5257.636363636364,5460.421052631579,5431.857142857143,5419.333333333333,5328.8,5155.636363636364,4978.6,5007.454545454545,4969.333333333333,5640.764705882353
TX HEBBRONVILLE,21,150.44393592677346,148.2,154.4814814814815,149.28,150.36,149.11764705882354,151.86111111111111,155.19230769230768,151.93333333333334,153.9298245614035,150.83673469387756,143.5204081632653
CA IMPERIAL,82,2976.220890410959,2551.1052631578946,2670.0588235294117,2481.3478260869565,2574.733333333333,2527.1428571428573,2533.230769230769,2745.3076923076924,2736.3,2736.6875,2726.76,2747.2663316582916
CA HERNANDEZ CALIFORNIA,26,25.589569160997733,25.38095238095238,21.5,23.74074074074074,23.5,22.333333333333332,24.88888888888889,26.166666666666668,30.333333333333332,14.0,23.5,16.4
AK HIDDEN FALLS HATCHERY,1,3205.2447916666665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UT Mammoth-Cottonwood,51,4.326530612244898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO VALLECITO DAM,40,11246.552447552447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,35,363.328125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,2,6594.84375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD HOT SPRINGS,82,1530.8363636363636,1560.090909090909,1544.1818181818182,1559.4285714285713,1593.8333333333333,1631.0,1711.75,1816.0,1540.0,1609.0,NaN,NaN
UT Mammoth-Cottonwood,52,439.5174825174825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT GINGER MONTANA,1,4395.152560083595,3194.0,3271.0,3301.3333333333335,3397.0,3241.0,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,96,0.38461538461538464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA IMPERIAL,83,596.2825342465753,538.0,529.8235294117648,509.17391304347825,509.26666666666665,531.6428571428571,490.15384615384613,518.6538461538462,530.15,582.25,550.68,550.0452261306533
TX HEBBRONVILLE,22,5.89,2.6,2.0,1.0,5.0,3.6666666666666665,3.5,5.0,2.9166666666666665,8.272727272727273,11.333333333333334,10.719298245614034
CO VALLECITO DAM,41,138.86013986013987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,3,1896.3229166666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,23,4.752542372881356,4.318181818181818,4.388888888888889,4.625,4.95,4.96,4.6,4.45945945945946,4.083333333333333,4.875,5.472222222222222,6.76530612244898
MT GINGER MONTANA,2,11242.085684430513,12258.0,12178.0,12038.666666666666,11856.5,11958.0,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,36,213.30104166666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TN WHITE HOUSE,60,19.156553398058254,20.1,19.233333333333334,17.818181818181817,21.454545454545453,20.36842105263158,20.46153846153846,20.533333333333335,18.555555555555557,20.4,NaN,19.428571428571427
SD HOT SPRINGS,83,41.83208556149733,41.36363636363637,29.545454545454547,28.714285714285715,21.0,22.333333333333332,26.75,30.0,31.0,25.5,NaN,NaN
WI HALES CORNERS-WHITNALL PK,90,11232.2,11196.636363636364,11142.888888888889,11107.8,11218.333333333334,11398.5,11311.0,11901.5,11411.0,12267.0,NaN,NaN
CO VALLECITO DAM,42,1358.3076923076924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,97,3677.387983706721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA IMPERIAL,85,393.55479452054794,370.36842105263156,365.70588235294116,330.7391304347826,331.6666666666667,347.92857142857144,311.3076923076923,356.8076923076923,340.7,339.5,327.28,367.74874371859295
MT GINGER MONTANA,3,2893.239289446186,7316.5,4950.0,4902.0,6265.5,3913.0,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,90,1813.926735218509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UT Mammoth-Cottonwood,54,33.58741258741259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,37,400.05833333333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,98,2532.1965376782077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,4,5290.46875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,91,8617.576963350786,8817.09090909091,8721.777777777777,8630.4,8798.666666666666,8897.25,8810.0,9022.5,8721.5,9281.0,NaN,NaN
WA Thunder Basin,1,1691.896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA HERNANDEZ CALIFORNIA,29,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,24,1.24,0.0,0.0,0.6666666666666666,-0.16666666666666666,0.0,0.2857142857142857,0.1111111111111111,0.2857142857142857,0.35714285714285715,0.3333333333333333,0.37142857142857144
AK HIDDEN FALLS HATCHERY,38,11447.29375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WA Thunder Basin,2,3566.301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,91,1074.4421593830334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,99,90.51162790697674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT GINGER MONTANA,4,6220.119122257053,6244.5,6427.0,6420.333333333333,6238.0,6280.0,NaN,NaN,NaN,NaN,NaN,NaN
MI KALKASKA,71,835.519427402863,807.4444444444445,618.6,814.5,1085.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD HOT SPRINGS,85,485.0620320855615,529.8181818181819,493.0,503.23809523809524,489.0,452.3333333333333,418.0,447.0,469.0,524.0,NaN,NaN
UT Mammoth-Cottonwood,55,2258.188811188811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,92,15734.037696335079,15481.454545454546,15168.333333333334,15215.2,15961.0,15644.75,15646.0,17338.0,15635.5,18106.0,NaN,NaN
CO VALLECITO DAM,44,776.8461538461538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,30,122.37643378519292,123.0,NaN,152.0,133.0,NaN,117.0,NaN,NaN,NaN,NaN,152.0
AK HIDDEN FALLS HATCHERY,5,3456.2604166666665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,25,5.0961098398169336,6.233333333333333,6.37037037037037,5.76,7.44,8.558823529411764,9.444444444444445,9.5,10.511111111111111,9.771929824561404,9.306122448979592,10.13265306122449
WI HALES CORNERS-WHITNALL PK,93,5660.309947643979,5797.636363636364,5666.777777777777,5839.0,5799.333333333333,5761.5,5796.5,6823.0,5948.5,7683.0,NaN,NaN
CO VALLECITO DAM,45,1.469387755102041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,20,635.9341657207718,629.0526315789474,667.5,655.6923076923077,650.5454545454545,678.125,636.75,628.3333333333334,634.0,NaN,606.0,NaN
TX HEBBRONVILLE,26,0.2727272727272727,0.2857142857142857,0.0,0.16666666666666666,0.0,0.0,0.7692307692307693,0.9473684210526315,2.1333333333333333,1.7142857142857142,0.875,0.2857142857142857
AK SALCHA ALASKA,92,4753.5077120822625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UT Mammoth-Cottonwood,56,1258.076923076923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,31,93.4045881126173,71.0,NaN,131.0,133.0,NaN,66.0,NaN,NaN,NaN,NaN,51.5
MT GINGER MONTANA,5,4063.243469174504,2680.0,2921.0,2680.3333333333335,2579.5,2329.0,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,6,686.0041666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA IMPERIAL,87,5749.277397260274,5774.526315789473,5863.64705882353,5570.304347826087,6101.333333333333,5710.428571428572,5940.153846153846,5939.7307692307695,6031.6,6296.8125,6299.16,5798.984924623115
WA Thunder Basin,3,1070.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MI KALKASKA,72,6164.332310838446,4603.888888888889,4628.4,4745.0,4606.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT GINGER MONTANA,6,1111.7063740856845,900.5,1178.0,976.0,793.0,793.0,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,7,3543.3697916666665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,32,349.84567257559956,235.0,NaN,277.0,262.0,NaN,377.0,NaN,NaN,NaN,NaN,257.0
AK SALCHA ALASKA,93,224.31362467866325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,94,8525.378010471204,9049.0,8866.666666666666,8873.6,8867.0,8982.0,8872.0,9594.5,9240.0,10032.0,NaN,NaN
CO VALLECITO DAM,46,5589.356643356643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WA Thunder Basin,4,2451.483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,21,591.5323496027241,534.7368421052631,552.0,527.2307692307693,532.6363636363636,528.25,514.5,513.0,488.0,NaN,556.0,NaN
SD HOT SPRINGS,87,916.2513368983957,973.1818181818181,1001.1818181818181,970.6190476190476,1035.5833333333333,1053.0,1096.25,1120.0,937.0,975.5,NaN,NaN
TX HEBBRONVILLE,27,0.7065868263473054,0.6428571428571429,1.3333333333333333,0.9090909090909091,1.2857142857142858,1.3846153846153846,1.3529411764705883,1.391304347826087,1.0,1.7692307692307692,1.2916666666666667,1.6794871794871795
AK SALCHA ALASKA,94,26.79049295774648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK Granite Crk,51,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MI KALKASKA,74,1653.0460122699387,1690.5555555555557,1502.6,1571.5,1541.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,8,5107.6625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WA Thunder Basin,5,2755.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ID EAGLE IDAHO,80,2329.7482517482517,2458.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,22,1101.6640181611804,981.2105263157895,952.5714285714286,936.0769230769231,975.8181818181819,995.875,916.5,915.3333333333334,1136.0,NaN,823.0,NaN
MT GINGER MONTANA,7,6136.602925809822,4283.0,4947.0,5212.666666666667,4561.0,5905.0,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,28,14.160183066361556,14.133333333333333,14.074074074074074,16.84,9.0,11.441176470588236,12.166666666666666,12.423076923076923,10.822222222222223,9.789473684210526,9.877551020408163,8.0
UT Mammoth-Cottonwood,58,342.7338129496403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,33,227.84254431699688,213.5,NaN,379.0,287.0,NaN,231.0,NaN,NaN,NaN,NaN,216.0
CO VALLECITO DAM,47,3.230769230769231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GA EDISON,60,14.927272727272728,15.214285714285714,14.176470588235293,12.391304347826088,13.75,11.947368421052632,14.857142857142858,14.75,13.2,13.666666666666666,16.0,NaN
WI HALES CORNERS-WHITNALL PK,95,14688.931937172774,15293.90909090909,15303.888888888889,15168.4,15385.666666666666,14849.5,14368.5,16598.5,16400.0,16773.0,NaN,NaN
NV TUSCARORA,34,515.2950990615224,364.5,NaN,474.0,426.0,NaN,385.0,NaN,NaN,NaN,NaN,387.5
CO VALLECITO DAM,48,331.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WA Thunder Basin,6,400.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,29,1.7777777777777777,1.1666666666666667,2.5,1.3333333333333333,1.8,2.5,2.5,2.142857142857143,1.6666666666666667,2.142857142857143,1.6666666666666667,0.0
MT GINGER MONTANA,8,6037.420062695925,5771.0,5916.0,5687.0,5826.0,5377.0,NaN,NaN,NaN,NaN,NaN,NaN
UT Mammoth-Cottonwood,59,201.47552447552448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,96,3861.3078534031415,3946.7272727272725,3994.1111111111113,4222.6,4044.3333333333335,3877.5,3761.0,4635.0,4370.5,5263.0,NaN,NaN
NE IMPERIAL,23,1923.6628830874006,2026.3684210526317,2190.5714285714284,2201.846153846154,2171.090909090909,2214.5,2334.75,2136.6666666666665,2202.0,NaN,2495.0,NaN
NV TUSCARORA,1,1395.9572471324295,1233.0,NaN,1335.0,1233.0,NaN,1331.0,NaN,NaN,NaN,NaN,1075.0
AK SALCHA ALASKA,95,6245.863753213368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ID EAGLE IDAHO,81,2812.4300699300697,2868.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,9,3963.45625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK Granite Crk,52,277.3636363636364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,30,959.6547861507129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,96,1.3333333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,24,700.7604994324631,930.1052631578947,823.4285714285714,815.5384615384615,683.3636363636364,651.375,649.0,662.3333333333334,554.0,NaN,591.0,NaN
NV TUSCARORA,35,165.9645464025026,159.0,NaN,81.0,117.0,NaN,91.0,NaN,NaN,NaN,NaN,179.5
WA Thunder Basin,7,1974.854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,2,1758.2825860271116,1743.0,NaN,1818.0,1781.0,NaN,1768.0,NaN,NaN,NaN,NaN,1691.0
MT GINGER MONTANA,9,4095.175548589342,4724.5,4957.0,5339.0,5366.0,5622.0,NaN,NaN,NaN,NaN,NaN,NaN
ID EAGLE IDAHO,82,1137.6713286713286,1155.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TN WHITE HOUSE,67,299.5546116504854,257.15,223.03333333333333,237.5151515151515,244.6818181818182,251.94736842105263,220.0,240.8,182.11111111111111,179.8,NaN,207.71428571428572
CO VALLECITO DAM,49,986.8741258741259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,97,3427.123560209424,3440.818181818182,3387.777777777778,3431.8,3389.0,3382.5,3330.5,3573.0,3502.0,3884.0,NaN,NaN
AK Granite Crk,54,9.21259842519685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,97,516.2994858611826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,98,1401.0638743455497,1242.2727272727273,1213.5555555555557,1236.8,1220.3333333333333,1225.25,1218.0,1411.5,1319.5,1564.0,NaN,NaN
NV TUSCARORA,3,587.3566214807091,586.0,NaN,890.0,1141.0,NaN,542.0,NaN,NaN,NaN,NaN,412.5
NV TUSCARORA,36,82.47028154327424,91.5,NaN,50.0,58.0,NaN,80.0,NaN,NaN,NaN,NaN,118.5
NE IMPERIAL,25,762.4676503972759,771.1052631578947,820.7857142857143,847.3076923076923,789.8181818181819,828.5,761.0,790.3333333333334,759.0,NaN,802.0,NaN
WA Thunder Basin,8,3059.947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,31,542.5631364562119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ID EAGLE IDAHO,83,673.1293706293707,598.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MI KALKASKA,77,46.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA HERNANDEZ CALIFORNIA,90,5095.672335600907,4886.857142857143,4788.25,4974.185185185185,4811.714285714285,4841.333333333333,4639.777777777777,4526.0,6145.0,3946.0,5376.0,4425.8
AK Granite Crk,55,1009.7902097902098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,99,49.85608856088561,6.0,1.0,0.0,0.0,21.0,0.0,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,4,1407.8248175182482,1322.0,NaN,1488.0,1456.0,NaN,1340.0,NaN,NaN,NaN,NaN,1325.0
AK SALCHA ALASKA,98,9.424698795180722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,32,1821.3503054989817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WA Thunder Basin,9,1882.097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,26,1117.5629965947787,938.4736842105264,1022.7857142857143,947.6923076923077,919.5454545454545,940.625,967.5,917.0,874.0,NaN,1058.0,NaN
MI KALKASKA,78,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MI KALKASKA,79,3231.5633946830267,3144.777777777778,3047.2,3497.0,3489.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK Granite Crk,56,732.3636363636364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,38,7885.825860271116,8171.0,NaN,7791.0,7835.0,NaN,9692.0,NaN,NaN,NaN,NaN,6673.0
CO Nast Lake,33,1349.552953156823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,27,198.1838819523269,162.1578947368421,169.71428571428572,162.76923076923077,161.1818181818182,154.125,182.5,160.0,176.0,NaN,193.0,NaN
NV TUSCARORA,5,957.9947862356621,679.5,NaN,717.0,732.0,NaN,644.0,NaN,NaN,NaN,NaN,733.5
ID EAGLE IDAHO,85,18.939393939393938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA HERNANDEZ CALIFORNIA,91,1583.5487528344672,1592.952380952381,1565.625,1634.7037037037037,1540.2142857142858,1610.6666666666667,1549.0,1491.3333333333333,2084.6666666666665,1362.0,1655.75,1556.8
CA IMPERIAL,20,1252.1198630136987,1368.0526315789473,1416.764705882353,1267.4782608695652,1349.4666666666667,1322.857142857143,1248.6923076923076,1415.8461538461538,1383.1,1431.375,1335.96,1445.8291457286432
SD HOT SPRINGS,20,551.1347593582888,663.0909090909091,665.7272727272727,645.3809523809524,665.8333333333334,607.3333333333334,575.25,575.0,530.0,600.5,NaN,NaN
CA IMPERIAL,21,1336.5479452054794,1149.6842105263158,1309.7058823529412,1200.5217391304348,1135.0666666666666,1235.642857142857,1206.8461538461538,1225.5,1245.65,1271.5625,1187.16,1392.7085427135678
NV TUSCARORA,6,171.0208550573514,103.5,NaN,74.0,74.0,NaN,57.0,NaN,NaN,NaN,NaN,150.0
NE IMPERIAL,28,191.33371169125994,98.84210526315789,105.92857142857143,104.46153846153847,97.72727272727273,107.875,114.5,93.66666666666667,135.0,NaN,112.0,NaN
CA HERNANDEZ CALIFORNIA,92,6423.5952380952385,5962.0,5735.1875,6022.481481481482,5753.142857142857,5965.083333333333,5548.444444444444,5548.833333333333,8136.0,4746.0,6695.75,5485.8
CO Nast Lake,34,3504.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD HOT SPRINGS,21,743.7882352941176,747.0909090909091,733.6363636363636,749.8571428571429,725.6666666666666,740.6666666666666,718.5,698.0,755.0,749.5,NaN,NaN
CA IMPERIAL,22,2823.830479452055,2437.7368421052633,2571.705882352941,2394.2608695652175,2419.4666666666667,2358.4285714285716,2404.6153846153848,2420.9615384615386,2369.45,2603.5,2439.72,2559.778894472362
AK Granite Crk,58,288.9389312977099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ID EAGLE IDAHO,87,10.639484978540773,16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GA EDISON,67,97.06060606060606,97.57142857142857,94.88235294117646,92.8695652173913,82.875,72.89473684210526,74.85714285714286,60.666666666666664,70.8,61.0,69.5,NaN
NV TUSCARORA,7,871.281543274244,761.0,NaN,743.0,618.0,NaN,687.0,NaN,NaN,NaN,NaN,911.0
NE IMPERIAL,29,377.38138479001134,336.10526315789474,359.64285714285717,351.46153846153845,355.45454545454544,358.25,311.0,310.0,339.0,NaN,304.0,NaN
WA Thunder Basin,60,11.093484419263456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA HERNANDEZ CALIFORNIA,93,3775.4036281179137,3468.3333333333335,3168.9375,3549.8888888888887,3197.5,3371.3333333333335,3047.6666666666665,3181.1666666666665,5410.666666666667,2204.0,4173.0,2785.6
CO Nast Lake,35,575.1924643584522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA HERNANDEZ CALIFORNIA,94,6814.208616780045,6529.238095238095,6183.875,6707.407407407408,6162.857142857143,6319.083333333333,5975.777777777777,5986.666666666667,9125.0,4612.0,7567.75,5559.6
NV TUSCARORA,8,1960.4118873826903,1871.5,NaN,2046.0,1871.0,NaN,2038.0,NaN,NaN,NaN,NaN,1847.5
SD HOT SPRINGS,22,931.7379679144385,888.0,874.7272727272727,893.7619047619048,859.1666666666666,823.6666666666666,853.75,860.0,860.0,818.0,NaN,NaN
CA IMPERIAL,23,4353.376712328767,4265.368421052632,4342.882352941177,3870.304347826087,3983.4,3721.3571428571427,3861.076923076923,4222.076923076923,4136.1,4217.4375,4258.36,4388.095477386934
AK Granite Crk,59,88.17482517482517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,36,489.17922606924645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,90,4995.897025171625,4969.666666666667,4833.2962962962965,4898.8,5108.84,4906.617647058823,4972.472222222223,4798.942307692308,4920.955555555555,4897.929824561404,4868.551020408163,5117.081632653061
WI HALES CORNERS-WHITNALL PK,30,538.7204188481676,599.5454545454545,612.7777777777778,609.2,612.0,642.25,592.0,736.0,660.0,808.0,NaN,NaN
CA IMPERIAL,24,985.0462328767123,811.578947368421,826.7058823529412,719.9130434782609,756.2666666666667,718.7142857142857,789.6923076923077,811.1153846153846,735.55,870.375,1063.36,1074.6834170854272
NM MOUNTAINAIR,1,1484.5985699693565,1282.75,1290.4,1322.857142857143,1243.0,1357.0,1349.0,1267.0,NaN,NaN,NaN,NaN
SD HOT SPRINGS,23,2307.894117647059,2336.7272727272725,2284.2727272727275,2376.190476190476,2342.0,2628.6666666666665,2347.0,2460.0,2103.0,2760.5,NaN,NaN
SD HOT SPRINGS,1,2934.91871657754,2099.5454545454545,2062.909090909091,2061.6666666666665,2041.3333333333333,2008.3333333333333,2091.75,2111.0,2111.0,1995.5,NaN,NaN
NV TUSCARORA,9,1132.9582898852973,873.5,NaN,986.0,796.0,NaN,952.0,NaN,NaN,NaN,NaN,907.5
CA HERNANDEZ CALIFORNIA,95,5651.269841269841,5781.285714285715,5707.1875,6040.62962962963,5759.357142857143,5910.666666666667,5755.0,5596.0,7002.666666666667,5256.0,6204.5,5629.6
AK Summit Creek,40,8140.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,31,330.4502617801047,538.3636363636364,322.8888888888889,348.0,403.3333333333333,345.25,407.0,299.0,276.0,348.0,NaN,NaN
CA IMPERIAL,25,1973.5650684931506,1964.6315789473683,2095.8823529411766,1794.5217391304348,1842.8666666666666,1835.0714285714287,1694.1538461538462,1868.2692307692307,1791.35,1744.1875,1776.32,1915.2060301507538
TX HEBBRONVILLE,91,3533.2105263157896,3661.0666666666666,3536.6296296296296,3499.84,3680.0,3683.205882352941,3796.6111111111113,3639.173076923077,3818.2,3859.3508771929824,3696.714285714286,3880.622448979592
